path,label,pca_feature_1,pca_feature_2,pca_feature_3,pca_feature_4,pca_feature_5,pca_feature_6,pca_feature_7,pca_feature_8,pca_feature_9,pca_feature_10,pca_feature_11,pca_feature_12,pca_feature_13,pca_feature_14,pca_feature_15,pca_feature_16,pca_feature_17,pca_feature_18,pca_feature_19,pca_feature_20,pca_feature_21,pca_feature_22,pca_feature_23,pca_feature_24,pca_feature_25,pca_feature_26,pca_feature_27,pca_feature_28,pca_feature_29,pca_feature_30,pca_feature_31,pca_feature_32,pca_feature_33,pca_feature_34,pca_feature_35,pca_feature_36,pca_feature_37,pca_feature_38,pca_feature_39,pca_feature_40,pca_feature_41,pca_feature_42,pca_feature_43,pca_feature_44,pca_feature_45,pca_feature_46,pca_feature_47,pca_feature_48,pca_feature_49,pca_feature_50,pca_feature_51,pca_feature_52,pca_feature_53,pca_feature_54,pca_feature_55,pca_feature_56,pca_feature_57,pca_feature_58,pca_feature_59
s3://camilleb-projet8/donneesimages/Apple Golden 1/117_100.jpg,Apple Golden 1,7.889639854431152,-0.35976308584213257,2.2718262672424316,6.529912948608398,-3.20175838470459,-8.138266563415527,-8.18958568572998,0.048785481601953506,-6.106564998626709,2.2385547161102295,0.447976678609848,-0.17377012968063354,-1.5851807594299316,0.6323843002319336,-2.506368637084961,-1.0376321077346802,7.33195686340332,0.17531317472457886,2.0925281047821045,0.2689407169818878,0.3226449489593506,-0.10797299444675446,-0.6741304397583008,-0.2822512984275818,0.21204599738121033,-2.555640459060669,-0.2648910582065582,-0.38296589255332947,1.2879531383514404,2.2248289585113525,-0.13221707940101624,-0.7341160774230957,2.3809902667999268,1.3385125398635864,-0.8994190096855164,-2.1192429065704346,0.29489925503730774,0.3715442419052124,-0.37773001194000244,2.163973808288574,2.600792169570923,1.6439913511276245,0.755061686038971,-0.6981821656227112,0.7217954397201538,2.654249906539917,-0.6471518874168396,-0.9007008075714111,-1.3077256679534912,0.5195019245147705,0.3732791244983673,2.01460862159729,0.2804030776023865,0.38155969977378845,0.8895337581634521,-1.1100709438323975,0.11858414113521576,0.42832210659980774,0.7831052541732788
s3://camilleb-projet8/donneesimages/Apple Crimson Snow/r_21_100.jpg,Apple Crimson Snow,-6.311619281768799,0.050376471132040024,0.41827359795570374,-3.408763885498047,-2.232783079147339,-7.579616546630859,-1.2256728410720825,-0.9664214849472046,-4.128155708312988,0.24142301082611084,0.29123181104660034,-0.296374648809433,-1.0161694288253784,1.187349796295166,-2.9789295196533203,0.5302259922027588,3.1105730533599854,3.6864891052246094,2.256319284439087,1.6329768896102905,3.072319269180298,0.7938507795333862,-1.5913394689559937,1.326972484588623,0.7288175225257874,-2.2452592849731445,0.1271648406982422,-1.3060941696166992,1.921576976776123,3.235201358795166,0.8211442232131958,-1.3395111560821533,3.2082278728485107,2.0937185287475586,0.40177157521247864,-1.82536780834198,0.19400668144226074,-0.21994644403457642,0.64248126745224,1.1355575323104858,1.867563009262085,0.8333227038383484,-0.10758480429649353,-0.9367355704307556,1.5342209339141846,1.772788166999817,-0.8904336094856262,-0.897787868976593,-0.7481375932693481,0.5095169544219971,1.4530366659164429,1.8684476613998413,0.3371671140193939,0.24988007545471191,0.07023460417985916,-0.8340058326721191,-0.3288663923740387,0.529869556427002,-0.04549255222082138
s3://camilleb-projet8/donneesimages/Apple Crimson Snow/r_45_100.jpg,Apple Crimson Snow,-4.257335662841797,1.656440019607544,-0.4283490777015686,-7.437943935394287,2.1162407398223877,-5.462460517883301,-2.123534917831421,-3.2771284580230713,-3.304107189178467,1.1797953844070435,-0.5242498517036438,0.5165935754776001,0.9263335466384888,-0.18383628129959106,-1.019000768661499,-1.4469857215881348,5.732947826385498,-1.2312266826629639,3.144723415374756,0.19291958212852478,0.3946126103401184,-0.18692342936992645,-2.6835970878601074,-0.5635535717010498,-0.8581448197364807,-2.695267677307129,-0.2350960224866867,-0.6305034756660461,1.480823040008545,1.7291582822799683,0.15506383776664734,-0.4834291338920593,1.6243517398834229,1.6048496961593628,-0.07494433224201202,-0.19808238744735718,0.5147508978843689,-0.18355107307434082,0.18386827409267426,1.2487714290618896,1.6488444805145264,1.3995933532714844,1.0196598768234253,-0.9899560809135437,0.7691149711608887,1.3239156007766724,-0.34814178943634033,-0.08777384459972382,-1.275767207145691,0.7414239048957825,0.4940992295742035,1.4148228168487549,0.14729230105876923,1.060431957244873,0.11799520254135132,-1.1527756452560425,-0.221669003367424,0.30843624472618103,0.20682494342327118
s3://camilleb-projet8/donneesimages/Apple Crimson Snow/142_100.jpg,Apple Crimson Snow,-9.877423286437988,-6.951016426086426,0.1374368965625763,5.434598445892334,1.796968698501587,-10.404491424560547,0.200184166431427,2.8638997077941895,-3.1851844787597656,3.1801822185516357,-0.5239361524581909,-1.3008655309677124,-2.1586577892303467,-0.31167733669281006,-2.740816831588745,-0.5396764278411865,6.195559501647949,-1.6680493354797363,3.130915880203247,-0.23003129661083221,-0.7090775966644287,0.45237255096435547,-2.7079837322235107,2.2488961219787598,-2.3397469520568848,-2.30511474609375,-0.7436753511428833,-0.2800384759902954,3.1698429584503174,2.7699031829833984,1.7105551958084106,-0.320564866065979,3.500798225402832,1.4000544548034668,0.5209497213363647,-0.8093320727348328,0.35786888003349304,-1.0203278064727783,-0.7934134006500244,1.603574514389038,2.4411683082580566,1.8179049491882324,-0.037084195762872696,-0.7266495227813721,1.2498345375061035,2.0753531455993652,-0.5551683902740479,-0.4311891794204712,-1.2604650259017944,0.3289203941822052,1.3025990724563599,1.2153061628341675,-0.13076500594615936,0.6151015758514404,0.4749397337436676,-1.3802348375320435,-0.0033715537283569574,0.4586709141731262,1.0140057802200317
s3://camilleb-projet8/donneesimages/Apple Crimson Snow/113_100.jpg,Apple Crimson Snow,-7.88006067276001,-5.773185729980469,0.19645865261554718,4.676294326782227,3.125014066696167,-9.317959785461426,0.6550171971321106,3.476707935333252,-5.741514205932617,1.9877597093582153,-0.04295141249895096,-0.36253729462623596,-3.4077036380767822,-0.191489115357399,-1.17963707447052,-0.7744287252426147,4.507978439331055,-0.004029728006571531,3.092283010482788,1.419791340827942,1.0343812704086304,0.660705029964447,-2.260261058807373,-1.8637129068374634,-0.18848063051700592,-3.0809202194213867,0.16259922087192535,-1.0264356136322021,0.9586105346679688,2.857088565826416,0.07484456151723862,-1.5868874788284302,1.698028326034546,0.8587973713874817,-0.33000531792640686,-1.535162091255188,0.8179499506950378,-0.19247065484523773,-0.2533009946346283,1.2821705341339111,1.259216547012329,2.3710010051727295,0.034313976764678955,-1.705390453338623,0.583551287651062,2.534581184387207,-0.18565253913402557,-0.3183409571647644,-1.2406665086746216,0.07964946329593658,0.7949342727661133,1.539230227470398,0.21875132620334625,-0.12057286500930786,0.73897784948349,-1.4739567041397095,-0.027496175840497017,0.13188426196575165,0.21072719991207123
s3://camilleb-projet8/donneesimages/Apple Crimson Snow/94_100.jpg,Apple Crimson Snow,-9.340088844299316,-5.011935710906982,0.6502286791801453,4.372617244720459,2.032724142074585,-8.613874435424805,0.7234385013580322,3.3068859577178955,-5.032310962677002,1.4627609252929688,0.16071078181266785,-1.055594801902771,-2.589686870574951,0.2638848125934601,-1.2035555839538574,-0.5196006298065186,3.8258798122406006,-0.5101017951965332,3.233135461807251,1.6431884765625,1.386842966079712,0.26326873898506165,-2.259835720062256,-1.364415168762207,-0.3556601405143738,-3.03418231010437,-0.5322244763374329,-1.1549550294876099,0.24928876757621765,3.289795160293579,-0.03584878891706467,-0.6830466389656067,1.9163705110549927,0.9977869391441345,-0.3199997842311859,-1.145650863647461,-0.3053855895996094,-0.139274001121521,0.3322402834892273,1.8804874420166016,2.368929624557495,1.7211798429489136,0.2368685007095337,-0.4512084424495697,0.5088187456130981,2.375249147415161,-0.8846169710159302,-0.4471466541290283,-1.0812972784042358,0.7765049338340759,0.6032949090003967,1.97079336643219,0.14002273976802826,-0.18391142785549164,0.41787293553352356,-1.4075249433517456,-0.1293257474899292,0.39080095291137695,0.8969358801841736
s3://camilleb-projet8/donneesimages/Apple Braeburn/r_62_100.jpg,Apple Braeburn,-10.719560623168945,-7.343382358551025,6.010754585266113,2.3605353832244873,-6.008125305175781,-10.205275535583496,0.13007241487503052,-2.7204315662384033,-5.703046798706055,-2.0487704277038574,-0.8479350805282593,-0.7685136795043945,-0.9826218485832214,0.34218910336494446,-1.9011670351028442,-2.2783241271972656,4.2715325355529785,-1.6690168380737305,3.6620473861694336,1.6298935413360596,1.840546727180481,0.10601300746202469,0.38043493032455444,-0.6661655902862549,-1.0234596729278564,-2.9728078842163086,-0.26706594228744507,-0.8825743198394775,1.6704010963439941,2.355260133743286,1.9359134435653687,-0.8819388151168823,2.8898229598999023,1.3404176235198975,0.2850914001464844,-1.2221406698226929,0.6448710560798645,0.021020272746682167,0.6031794548034668,2.2721991539001465,1.4680372476577759,2.770845890045166,1.2264796495437622,-1.0630635023117065,0.9608099460601807,2.311953067779541,-0.6566168665885925,-0.34016913175582886,-1.0424222946166992,0.9877409338951111,1.434036374092102,1.4519327878952026,0.07536940276622772,0.6733945608139038,0.24702920019626617,-0.9366098046302795,0.5118088126182556,0.654244601726532,0.8415418863296509
s3://camilleb-projet8/donneesimages/Apple Braeburn/6_100.jpg,Apple Braeburn,-13.067761421203613,-7.775778770446777,3.668156385421753,3.558640718460083,-6.0116472244262695,-8.501201629638672,-1.5566728115081787,-1.2051976919174194,-3.9171314239501953,3.1856870651245117,1.1795042753219604,-0.11156316101551056,0.438207745552063,0.662470817565918,-1.9640166759490967,-0.5485385060310364,3.7869315147399902,0.16565367579460144,2.6801395416259766,1.6480687856674194,2.1911792755126953,0.8040341734886169,-2.6710565090179443,-2.0112156867980957,-0.2636115849018097,-3.2020351886749268,-0.8142818808555603,-1.3994981050491333,0.7525655031204224,2.9307806491851807,0.565149188041687,0.16613827645778656,2.2347700595855713,2.727451801300049,-0.799078643321991,-0.6542525291442871,-0.12259985506534576,-0.4093146324157715,-0.3070470690727234,1.0829066038131714,1.9556742906570435,0.48643773794174194,-0.25943461060523987,-0.8968424797058105,0.9817805290222168,2.534963607788086,-0.11535492539405823,-0.11616881936788559,-2.5839333534240723,1.1364850997924805,0.47443434596061707,0.8376320600509644,-0.4299580752849579,0.22489313781261444,0.6643812656402588,-1.189692735671997,0.09293431043624878,1.004155158996582,0.7139477133750916
s3://camilleb-projet8/donneesimages/Apricot/r_43_100.jpg,Apricot,-5.390605449676514,1.4970566034317017,9.945544242858887,-6.568061351776123,-4.669865131378174,-10.258459091186523,-5.283657073974609,2.3873064517974854,-0.1734330803155899,3.1676151752471924,-1.6391184329986572,-6.062368392944336,-2.842622995376587,0.8794281482696533,-2.2489211559295654,-0.10944533348083496,2.8297412395477295,-2.0027167797088623,2.596817970275879,1.8692042827606201,1.6213892698287964,1.7037349939346313,-1.2614843845367432,-0.08403116464614868,-0.2979782223701477,-2.6589927673339844,-0.748515248298645,-1.0102458000183105,1.8503272533416748,3.0816638469696045,-0.47129109501838684,-1.1222089529037476,1.005617618560791,1.8331539630889893,0.2303975224494934,-0.688633143901825,1.374191164970398,-0.04143030196428299,-0.39259272813796997,1.408258318901062,1.527860164642334,2.2869787216186523,0.5825560688972473,-1.1243160963058472,0.8575661182403564,2.3175394535064697,-0.7296153903007507,-0.4507423937320709,-1.164370059967041,0.9776272773742676,1.5112061500549316,2.355250120162964,-0.1127425953745842,0.19769267737865448,0.2772549092769623,-1.9235128164291382,-0.14612941443920135,0.41215336322784424,-0.0518728643655777
s3://camilleb-projet8/donneesimages/Avocado/96_100.jpg,Avocado,2.5188260078430176,-15.472838401794434,5.27540922164917,-2.5726890563964844,-5.378949165344238,-2.6455514430999756,1.4911925792694092,2.5993783473968506,-4.936673164367676,3.490687608718872,1.7390263080596924,-0.5578763484954834,-1.875183343887329,-0.02963174134492874,-1.8469165563583374,-1.1679033041000366,6.973429203033447,0.7179051637649536,6.32258939743042,0.24085040390491486,2.5933496952056885,0.8129143714904785,-1.3182897567749023,0.12398737668991089,-1.510428547859192,-1.8186355829238892,1.5642340183258057,0.22757121920585632,0.10526996850967407,2.944838285446167,0.29046139121055603,-1.4159069061279297,0.49603861570358276,1.64444899559021,1.4056940078735352,-1.6381926536560059,-0.24465297162532806,-0.5630156397819519,-0.7649757862091064,2.0750396251678467,2.520413398742676,1.1364792585372925,1.8257218599319458,-1.9910221099853516,1.5446919202804565,2.621278762817383,-0.1740746945142746,0.16958099603652954,-1.4275816679000854,1.057234525680542,1.1812386512756348,2.170478343963623,0.017517531290650368,-0.19230693578720093,-0.24755606055259705,-0.7119947075843811,-0.4333440363407135,-0.27029290795326233,0.28036484122276306
